671135;982014
671453;983187
671408;983397
671462;983569
671317;983660
671338;983737
671248;983863
670864;983842
670833;983932
670574;983917
670424;983914
670254;983863
670212;983667
670149;983656
670095;983881
670068;983911
670082;984036
670058;984136
669979;984323
670140;984303
670381;984354
670319;984421
670050;984414
670032;984613
670333;984646
670260;984845
670130;984844
669680;985033
669711;985300
669699;985547
669672;985771
670024;985864
670302;986098
670460;986167
670737;985798
670788;985952
670870;986052
670797;986171
670814;986233
670782;986392
670330;986248
670276;986357
670320;986552
670594;986638
670682;986860
670763;987070
671009;987303
671392;987577
671861;987668
672088;987789
672389;988051
672539;988294
672530;988450
672578;988532
672679;988371
672921;988335
673152;988573
673426;988542
673615;988567
673596;988343
673781;988286
674038;988439
674175;988401
674277;988602
674207;988793
674443;988869
674604;988969
674683;988882
674764;988967
674979;988856
675356;988834
675508;988926
675726;988880
675955;988946
676277;989061
676607;989137
676581;989269
676837;989344
676867;989440
676820;989483
676780;989596
676916;989615
677091;989568
677260;989452
677552;989478
677853;989276
677987;989392
677893;989469
677926;989570
678135;989509
678177;989138
678421;989314
678422;988781
678642;988955
678929;988982
678936;988803
679894;988860
679925;988723
679661;988331
679872;988064
679690;987915
679573;988038
679469;987916
679043;987942
678788;987832
678568;988250
678058;988126
678147;987537
678083;987105
677865;987122
677568;987004
677302;987018
676565;987138
676362;986885
676405;986733
676600;986820
676660;986655
676413;986524
676673;986288
676556;986176
675785;986207
675898;985392
675610;985295
675329;985118
675025;985006
674416;984792
674339;984548
673755;984773
673968;983951
674040;983930
674198;983711
674087;983674
674386;983032
674195;982942
673988;983416
673662;983536
673281;983471
673403;983387
673368;983175
673136;983064
672963;983049
672943;982715
672836;982677
672480;982795
672324;982733
672172;982765
672063;982360
671843;982411
671956;982848
671610;982838
671483;982460
671636;982318
671584;982147
671409;982151
671363;981989
